person_id,first_name,last_name,birthdate,school,height,position,team_id,team_name,team_city,team_abbreviation,draft_year,draft_round
76001,Alaa,Abdelnaby,1968-06-24,Duke,6-10,Forward,1610612757,Trail Blazers,Portland,POR,1990,1
76003,Kareem,Abdul-Jabbar,1947-04-16,UCLA,7-2,Center,1610612747,Lakers,Los Angeles,LAL,1969,1
1505,Tariq,Abdul-Wahad,1974-11-03,San Jose State,6-6,Forward-Guard,1610612758,Kings,Sacramento,SAC,1997,1
949,Shareef,Abdur-Rahim,1976-12-11,California,6-9,Forward,1610612763,Grizzlies,Vancouver,VAN,1996,1
76005,Tom,Abernethy,1954-05-06,Indiana,6-7,Forward,1610612744,Warriors,Golden State,GOS,1976,3
1630173,Precious,Achiuwa,1999-09-19,Memphis,6-8,Forward,1610612761,Raptors,Toronto,TOR,2020,1
101165,Alex,Acker,1983-01-21,Pepperdine,6-5,Guard,1610612746,Clippers,Los Angeles,LAC,2005,2
76008,Donald,Ackerman,1930-09-04,Long Island-Brooklyn,6-0,Guard,1610612752,Knicks,New York,NYK,1953,2
76009,Mark,Acres,1962-11-15,Oral Roberts,6-11,Center,1610612753,Magic,Orlando,ORL,1985,2
76010,Charles,Acton,1942-01-11,Hillsdale,6-6,Forward,1610612745,Rockets,San Diego,SDR,Undrafted,-1
76011,Alvan,Adams,1954-07-19,Oklahoma,6-9,Center,1610612756,Suns,Phoenix,PHX,1975,1
76012,Don,Adams,1947-11-27,Northwestern,6-7,Forward,1610612765,Pistons,Detroit,DET,1970,8
203919,Jordan,Adams,1994-07-08,UCLA,6-5,Guard,1610612763,Grizzlies,Memphis,MEM,2014,1
149,Michael,Adams,1963-01-19,Boston College,5-10,Guard,1610612743,Nuggets,Denver,DEN,1985,3
203500,Steven,Adams,1993-07-20,Pittsburgh,6-11,Center,1610612763,Grizzlies,Memphis,MEM,2013,1
912,Rafael,Addison,1964-07-22,Syracuse,6-8,Forward,1610612751,Nets,New Jersey,NJN,1986,2
1628389,Bam,Adebayo,1997-07-18,Kentucky,6-9,Center-Forward,1610612748,Heat,Miami,MIA,2017,1
76015,Rick,Adelman,1946-06-16,Loyola-Marymount,6-2,Guard,1610612757,Trail Blazers,Portland,POR,1968,7
201167,Arron,Afflalo,1985-10-15,UCLA,6-5,Guard,1610612743,Nuggets,Denver,DEN,2007,1
1630534,Ochai,Agbaji,2000-04-20,Kansas,6-5,Guard,1610612762,Jazz,Utah,UTA,2022,1
76016,Mark,Aguirre,1959-12-10,DePaul,6-6,Forward,1610612742,Mavericks,Dallas,DAL,1981,1
