person_id,first_name,last_name,birthdate,school,height,position,team_id,team_name,team_city,team_abbreviation,draft_year,draft_round
76001,Alaa,Abdelnaby,1968-06-24 00:00:00,Duke,6-10,Forward,1610612757,Trail Blazers,Portland,POR,1990,1
76003,Kareem,Abdul-Jabbar,1947-04-16 00:00:00,UCLA,7-2,Center,1610612747,Lakers,Los Angeles,LAL,1969,1
1505,Tariq,Abdul-Wahad,1974-11-03 00:00:00,San Jose State,6-6,Forward-Guard,1610612758,Kings,Sacramento,SAC,1997,1
949,Shareef,Abdur-Rahim,1976-12-11 00:00:00,California,6-9,Forward,1610612763,Grizzlies,Vancouver,VAN,1996,1
76005,Tom,Abernethy,1954-05-06 00:00:00,Indiana,6-7,Forward,1610612744,Warriors,Golden State,GOS,1976,3
1630173,Precious,Achiuwa,1999-09-19 00:00:00,Memphis,6-8,Forward,1610612761,Raptors,Toronto,TOR,2020,1
101165,Alex,Acker,1983-01-21 00:00:00,Pepperdine,6-5,Guard,1610612746,Clippers,Los Angeles,LAC,2005,2
76008,Donald,Ackerman,1930-09-04 00:00:00,Long Island-Brooklyn,6-0,Guard,1610612752,Knicks,New York,NYK,1953,2
76009,Mark,Acres,1962-11-15 00:00:00,Oral Roberts,6-11,Center,1610612753,Magic,Orlando,ORL,1985,2
76010,Charles,Acton,1942-01-11 00:00:00,Hillsdale,6-6,Forward,1610612745,Rockets,San Diego,SDR,Undrafted,Undrafted
76011,Alvan,Adams,1954-07-19 00:00:00,Oklahoma,6-9,Center,1610612756,Suns,Phoenix,PHX,1975,1
76012,Don,Adams,1947-11-27 00:00:00,Northwestern,6-7,Forward,1610612765,Pistons,Detroit,DET,1970,8
203919,Jordan,Adams,1994-07-08 00:00:00,UCLA,6-5,Guard,1610612763,Grizzlies,Memphis,MEM,2014,1
149,Michael,Adams,1963-01-19 00:00:00,Boston College,5-10,Guard,1610612743,Nuggets,Denver,DEN,1985,3
203500,Steven,Adams,1993-07-20 00:00:00,Pittsburgh,6-11,Center,1610612763,Grizzlies,Memphis,MEM,2013,1
912,Rafael,Addison,1964-07-22 00:00:00,Syracuse,6-8,Forward,1610612751,Nets,New Jersey,NJN,1986,2
1628389,Bam,Adebayo,1997-07-18 00:00:00,Kentucky,6-9,Center-Forward,1610612748,Heat,Miami,MIA,2017,1
76015,Rick,Adelman,1946-06-16 00:00:00,Loyola-Marymount,6-2,Guard,1610612757,Trail Blazers,Portland,POR,1968,7
201167,Arron,Afflalo,1985-10-15 00:00:00,UCLA,6-5,Guard,1610612743,Nuggets,Denver,DEN,2007,1
1630534,Ochai,Agbaji,2000-04-20 00:00:00,Kansas,6-5,Guard,1610612762,Jazz,Utah,UTA,2022,1
76016,Mark,Aguirre,1959-12-10 00:00:00,DePaul,6-6,Forward,1610612742,Mavericks,Dallas,DAL,1981,1
201336,Blake,Ahearn,1984-05-27 00:00:00,Missouri State,6-2,Guard,1610612748,Heat,Miami,MIA,Undrafted,Undrafted
201582,Alexis,Ajinca,1988-05-06 00:00:00,Hyeres-Toulon,7-2,Center,1610612740,Pelicans,New Orleans,NOP,2008,1
76018,Henry,Akin,1944-07-31 00:00:00,Morehead State,6-10,Center,1610612752,Knicks,New York,NYK,1966,2
203006,Josh,Akognon,1986-02-10 00:00:00,California State-Fullerton,5-11,Guard,1610612742,Mavericks,Dallas,DAL,Undrafted,Undrafted
202374,Solomon,Alabi,1988-03-21 00:00:00,Florida State,7-1,Center,1610612761,Raptors,Toronto,TOR,2010,2
76019,Mark,Alarie,1963-12-11 00:00:00,Duke,6-8,Forward,1610612764,Bullets,Washington,WAS,1986,1
76020,Gary,Alcorn,1936-10-08 00:00:00,Fresno State,6-9,Center,1610612765,Pistons,Detroit,DET,1959,3
1630583,Santi,Aldama,2001-01-10 00:00:00,Loyola-Maryland,7-0,Forward-Center,1610612763,Grizzlies,Memphis,MEM,2021,1
203128,Furkan,Aldemir,1991-08-09 00:00:00,Galatasaray,6-10,Forward-Center,1610612755,76ers,Philadelphia,PHI,2012,2
202332,Cole,Aldrich,1988-10-31 00:00:00,Kansas,6-11,Center,1610612752,Knicks,New York,NYK,2010,1
200746,LaMarcus,Aldridge,1985-07-19 00:00:00,University of Texas at Austin,6-11,Center-Forward,1610612751,Nets,Brooklyn,BKN,2006,1
1626146,Cliff,Alexander,1995-11-16 00:00:00,Kansas,6-8,Forward,1610612757,Trail Blazers,Portland,POR,Undrafted,Undrafted
724,Cory,Alexander,1973-06-22 00:00:00,Virginia,6-1,Guard,1610612759,Spurs,San Antonio,SAS,1995,1
201570,Joe,Alexander,1986-12-26 00:00:00,West Virginia,6-8,Forward,1610612749,Bucks,Milwaukee,MIL,2008,1
1629734,Kyle,Alexander,1996-10-21 00:00:00,Tennessee,6-10,Forward-Center,1610612748,Heat,Miami,MIA,Undrafted,Undrafted
1630234,Ty-Shon,Alexander,1998-07-16 00:00:00,Creighton,6-3,Guard,1610612756,Suns,Phoenix,PHX,Undrafted,Undrafted
2349,Victor,Alexander,1969-08-31 00:00:00,Iowa State,6-10,Forward,1610612744,Warriors,Golden State,GOS,1991,1
1629638,Nickeil,Alexander-Walker,1998-09-02 00:00:00,Virginia Tech,6-5,Guard,1610612750,Timberwolves,Minnesota,MIN,2019,1
76024,Steve,Alford,1964-11-23 00:00:00,Indiana,6-2,Guard,1610612742,Mavericks,Dallas,DAL,1987,2
1628959,Rawle,Alkins,1997-10-29 00:00:00,Arizona,6-5,Guard,1610612741,Bulls,Chicago,CHI,Undrafted,Undrafted
76028,Bob,Allen,1946-07-17 00:00:00,Marshall,6-9,Forward,1610612744,Warriors,San Francisco,SFW,1968,6
1628960,Grayson,Allen,1995-10-08 00:00:00,Duke,6-4,Guard,1610612749,Bucks,Milwaukee,MIL,2018,1
1628386,Jarrett,Allen,1998-04-21 00:00:00,Texas,6-9,Center,1610612739,Cavaliers,Cleveland,CLE,2017,1
202730,Lavoy,Allen,1989-02-04 00:00:00,Temple,6-9,Forward-Center,1610612754,Pacers,Indiana,IND,2011,2
76027,Lucius,Allen,1947-09-26 00:00:00,UCLA,6-2,Guard,1610612749,Bucks,Milwaukee,MIL,1969,1
2124,Malik,Allen,1978-06-27 00:00:00,Villanova,6-10,Forward,1610612748,Heat,Miami,MIA,Undrafted,Undrafted
76029,Odis,Allison,1949-10-02 00:00:00,UNLV,6-6,Forward,1610612744,Warriors,Golden State,GOS,1971,5
200984,Lance,Allred,1981-02-02 00:00:00,Weber State,6-11,Center,1610612739,Cavaliers,Cleveland,CLE,Undrafted,Undrafted
76030,Darrell,Allums,1958-09-12 00:00:00,UCLA,6-8,Forward,1610612742,Mavericks,Dallas,DAL,1980,5
201165,Morris,Almond,1985-02-02 00:00:00,Rice,6-6,Guard,1610612762,Jazz,Utah,UTA,2007,1
1747,Rafer,Alston,1976-07-24 00:00:00,Fresno State,6-2,Guard,1610612745,Rockets,Houston,HOU,1998,2
1630631,Jose,Alvarado,1998-04-12 00:00:00,Georgia Tech,6-0,Guard,1610612740,Pelicans,New Orleans,NOP,Undrafted,Undrafted
680,John,Amaechi,1970-11-26 00:00:00,Penn State,6-10,Forward-Center,1610612753,Magic,Orlando,ORL,Undrafted,Undrafted
200811,Lou,Amundson,1982-12-07 00:00:00,UNLV,6-9,Forward,1610612756,Suns,Phoenix,PHX,Undrafted,Undrafted
101187,Alan,Anderson,1982-10-16 00:00:00,Michigan State,6-6,Forward-Guard,1610612751,Nets,Brooklyn,BKN,Undrafted,Undrafted
76036,Daniel,Anderson,1951-01-01 00:00:00,Southern California,6-2,Guard,1610612757,Trail Blazers,Portland,POR,1974,6
